artist,title,album,nof_tracks,key,C,C#,D,D#,E,F,F#,G,G#,A,A#,B,nof notes,%C,%C#,%D,%D#,%E,%F,%F#,%G,%G#,%A,%A#,%B,genre
alice,concerto,alice,3,A#/Gm,188,9,198,344,11,307,8,273,191,71,502,10,2112,8.901515151515152,0.4261363636363636,9.375,16.28787878787879,0.5208333333333333,14.535984848484848,0.3787878787878788,12.926136363636365,9.043560606060606,3.361742424242424,23.768939393939394,0.4734848484848485,classical
Bach,Air,unknown,3,G/Em,20,97,107,28,183,0,134,99,36,132,8,149,993,2.014098690835851,9.768378650553878,10.775427995971802,2.8197381671701915,18.429003021148034,0.0,13.494461228600201,9.969788519637463,3.625377643504532,13.293051359516618,0.8056394763343404,15.005035246727088,classical
Beethoven,Rondo In C,unknown,2,G/Em,433,86,325,151,225,236,89,543,136,150,131,206,2711,15.971966064182958,3.1722611582441904,11.988196237550719,5.569900405754334,8.299520472150498,8.705274806344523,3.282921431206197,20.029509406123204,5.016599040944301,5.533013648100332,4.83216525267429,7.598672076724455,classical
Beethoven,"Sonata quasi una Fantasia (MOONLIGHT) Op. 27, No. 2",unknown,1,B/G#m,256,1012,116,847,609,102,399,279,1478,361,249,426,6134,4.1734594065862405,16.498206716661233,1.8910987936093904,13.808281708509945,9.928268666449299,1.6628627323117053,6.504727746984024,4.548418650146723,24.095207042712747,5.885229866318879,4.059341375937398,6.944897293772416,classical
Chopin,"Prelude  No. 6, Opus 28",unknown,2,D/Bm,20,32,79,0,29,3,63,43,3,4,22,105,403,4.962779156327544,7.94044665012407,19.602977667493796,0.0,7.196029776674938,0.7444168734491315,15.632754342431761,10.669975186104217,0.7444168734491315,0.9925558312655087,5.459057071960298,26.054590570719604,classical
Claude Debussey,La Fille Aux Cheveaux de Lin,unknown,1,G/Em,42,14,79,1,98,5,29,90,9,53,0,86,506,8.300395256916996,2.766798418972332,15.612648221343871,0.1976284584980237,19.367588932806324,0.9881422924901186,5.7312252964426875,17.786561264822133,1.7786561264822136,10.474308300395258,0.0,16.99604743083004,classical
Claude Debussy,Jimbo's Lullaby,unknown,1,A#/Gm,51,53,65,37,25,83,24,96,44,68,64,62,672,7.5892857142857135,7.886904761904762,9.672619047619047,5.5059523809523805,3.7202380952380953,12.351190476190476,3.571428571428571,14.285714285714285,6.547619047619048,10.119047619047619,9.523809523809524,9.226190476190476,classical
A. Vivaldi/Dan Mumm,L?Estro Armonico Op. 3 Concerto No. 10 in B minor RV 580 Allegro,unknown,1,A/F#m,4,65,122,2,86,3,270,59,9,47,15,220,902,0.4434589800443459,7.206208425720622,13.52549889135255,0.22172949002217296,9.534368070953436,0.3325942350332594,29.933481152993345,6.541019955654102,0.9977827050997782,5.210643015521065,1.662971175166297,24.390243902439025,classical
Frederic Chopin,Etude Op 10  no 3,unknown,1,G/Em,47,0,34,0,57,27,12,82,5,20,4,15,303,15.51155115511551,0.0,11.221122112211221,0.0,18.81188118811881,8.91089108910891,3.9603960396039604,27.062706270627064,1.65016501650165,6.6006600660066,1.3201320132013201,4.9504950495049505,classical
Bach,Invention 4,unknown,2,C/Am,48,14,63,2,64,54,10,55,10,73,44,16,453,10.596026490066226,3.090507726269316,13.90728476821192,0.44150110375275936,14.1280353200883,11.920529801324504,2.207505518763797,12.141280353200882,2.207505518763797,16.114790286975715,9.713024282560706,3.532008830022075,classical
Bach,Cello Suite No.1,unknown,3,C/Am,136,34,190,12,122,26,166,190,12,254,8,152,1302,10.44546850998464,2.61136712749616,14.592933947772657,0.9216589861751152,9.37019969278034,1.9969278033794162,12.749615975422426,14.592933947772657,0.9216589861751152,19.508448540706606,0.6144393241167435,11.674347158218126,classical
Bach,Jesu Joy Of Man's Desiring,unknown,1,D/Bm,80,4,121,1,66,12,35,115,4,77,1,99,615,13.008130081300814,0.6504065040650406,19.67479674796748,0.16260162601626016,10.731707317073171,1.951219512195122,5.691056910569105,18.69918699186992,0.6504065040650406,12.520325203252034,0.16260162601626016,16.097560975609756,classical
Beethoven,Temptest 3rd Movement,unknown,1,E/C#m,24,1,17,1,47,10,0,0,18,40,5,21,184,13.043478260869565,0.5434782608695652,9.239130434782608,0.5434782608695652,25.543478260869566,5.434782608695652,0.0,0.0,9.782608695652174,21.73913043478261,2.717391304347826,11.41304347826087,classical
Beethoven,Moonlight Sonata,unknown,1,G/Em,115,20,131,31,183,83,9,85,53,153,18,80,961,11.966701352757545,2.081165452653486,13.631633714880333,3.225806451612903,19.042663891779394,8.636836628511967,0.9365244536940687,8.844953173777315,5.515088449531738,15.920915712799166,1.8730489073881373,8.324661810613945,classical
Bach,Prelude,unknown,2,C/Am,70,19,99,5,65,13,85,97,4,130,3,79,669,10.46337817638266,2.8400597907324365,14.798206278026907,0.7473841554559043,9.715994020926756,1.9431988041853512,12.705530642750373,14.499252615844544,0.5979073243647235,19.43198804185351,0.4484304932735426,11.80866965620329,classical
Claude Debussy,Suite Bergamasque - III: Clair de Lune,unknown,1,D/Bm,26,87,196,3,172,31,140,175,4,188,34,157,1213,2.1434460016488046,7.1723000824402305,16.15828524319868,0.24732069249793898,14.179719703215168,2.555647155812036,11.541632316570487,14.427040395713108,0.3297609233305853,15.49876339653751,2.8029678483099754,12.943116240725475,classical
